Vase.godine,Pol,Mjesto.prebivalista,Stepen.obrazovanja,Radni.odnos,Sektor.zaposlenja,Posjedovanje.ZO,Mjesecna.primanja,Stanarina,Prije.izdaciHrana,Trenutno.izdaciHrana,Potrosacki.kredit,Potencijalno.potrosackiKredit,Trajanje.mjera,Odnos.premaAkcijama,Poteskoce.nabavka,Uvid.podaci,Nadzor,Egzistencija,Novcana.pomoc,Uvjesti.mjere,Zdravstveni.kapaciteti,Internet.prije,Internet.sad,Redovno.informisanje,Uticaj.karantin,Nova.vjestina,Postovanje.mjera
25-34,Muski,Podgorica,Fakultet (BSc),"Zaposlen/a, idem na posao",Privatni,Da,301-600€,Ne iznajmljujem,101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Da,Da,0-1h,1-3h,Da,Utice pozitivno,Ne,Da
18-24,Muski,Kotor,Master studije,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,301-600€,Ne iznajmljujem,201-300€,300€+,Ne,Ne,manje od mjesec dana,Zadovoljan/a sam,Ne,Da,Da,Ne,Da,Ne,Ne,3-5h,3-5h,Ne,Utice pozitivno,Da,Da
18-24,Zenski,Mojkovac,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,0-100€,0-100€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,3-5h,Ne,Utice pozitivno,Da,Da
18-24,Muski,Podgorica,Master studije,"Zaposlen/a, idem na posao",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,5h+,5h+,Da,Ne utice na mene,Da,Da
25-34,Zenski,Podgorica,Master studije,"Zaposlen/a, idem na posao",Privatni,Ne idem na posao,900€+,"Da, od 101-300€",101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,5h+,5h+,Da,Ne utice na mene,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Da,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Da,Da,Da,1-3h,3-5h,Da,Utice negativno,Da,Da
25-34,Zenski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",201-300€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,3-5h,Da,Utice pozitivno,Da,Da
18-24,Zenski,Andrijevica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,101-200€,101-200€,Ne,Ne,manje od mjesec dana,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Ne,5h+,5h+,Da,Utice negativno,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,300€+,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Ne,3-5h,5h+,Da,Utice negativno,Ne,Da
18-24,Zenski,Berane,Fakultet (BSc),"Zaposlen, ali na nametnutom godisnjem odmoru",Drzavni,Ne idem na posao,301-600€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Da,Da,Ne,1-3h,5h+,Da,Utice negativno,Da,Da
18-24,Zenski,Tuzi,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,101-200€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Da,Ne,Ne,Ne,Da,1-3h,5h+,Da,Utice pozitivno,Da,Da
18-24,Muski,Podgorica,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 101-300€",101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,5h+,Ne,Ne utice na mene,Da,Ne
18-24,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,5h+,5h+,Da,Ne utice na mene,Ne,Da
25-34,Zenski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Privatni,Da,601-900€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,3-5h,1-3h,Da,Utice pozitivno,Da,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne,601-900€,Ne iznajmljujem,300€+,300€+,Ne,Ne,vise od 2 mjeseca,Neutralan/na,Ne,Ne,Da,Ne,Da,Da,Ne,1-3h,5h+,Da,Utice negativno,Ne,Da
25-34,Muski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Nezaposlen/a,Ne idem na posao,601-900€,Ne iznajmljujem,300€+,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,1-3h,5h+,Da,Utice negativno,Da,Da
25-34,Muski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,900€+,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,5h+,5h+,Da,Utice negativno,Da,Da
35-44,Zenski,Podgorica,Doktorat,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,900€+,Ne iznajmljujem,300€+,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Ne,Ne,3-5h,3-5h,Da,Ne utice na mene,Da,Da
25-34,Muski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,601-900€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,3-5h,5h+,Da,Utice negativno,Ne,Da
18-24,Zenski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Da,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Da,Da,Ne,1-3h,3-5h,Da,Utice pozitivno,Ne,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, idem na posao",Privatni,Ne idem na posao,301-600€,"Da, 300€+",101-200€,101-200€,Ne,Ne,vise od 2 mjeseca,Neutralan/na,Ne,Ne,Da,Da,Da,Ne,Ne,3-5h,1-3h,Ne,Utice pozitivno,Da,Da
18-24,Muski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,101-200€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Ne,1-3h,1-3h,Da,Ne utice na mene,Ne,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,3-5h,3-5h,Da,Ne utice na mene,Da,Da
18-24,Zenski,Budva,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 101-300€",300€+,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Da,Da,Ne,3-5h,5h+,Ne,Ne utice na mene,Ne,Da
18-24,Zenski,Niksic,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,manje od mjesec dana,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,3-5h,3-5h,Ne,Utice pozitivno,Ne,Da
0-17,Muski,Budva,Osnovna skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,301-600€,"Da, od 101-300€",201-300€,201-300€,Ne,Ne,vise od 2 mjeseca,Nezadovoljan/a sam,Ne,Ne,Da,Ne,Da,Da,Ne,1-3h,5h+,Da,Ne utice na mene,Ne,Da
18-24,Zenski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Drzavni,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,3-5h,5h+,Da,Utice pozitivno,Ne,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,3-5h,Da,Utice negativno,Da,Da
18-24,Zenski,Niksic,Fakultet (BSc),"Zaposlen/a, radim od kuce",Drzavni,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Ne,Ne,1-3h,1-3h,Da,Ne utice na mene,Ne,Da
65+,Muski,Niksic,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Da,Ne,Ne,Da,1-3h,1-3h,Da,Ne utice na mene,Ne,Da
